ID,monthlyRent(us_dollar)
Test_0000,176.15538
Test_0001,268.6486
Test_0002,315.59454
Test_0003,187.79942
Test_0004,87.3992
Test_0005,133.15826
Test_0006,476.88385
Test_0007,272.89667
Test_0008,353.60294
Test_0009,221.27873
Test_0010,974.7467
Test_0011,298.01715
Test_0012,142.52184
Test_0013,326.62607
Test_0014,282.67285
Test_0015,153.02083
Test_0016,109.1845
Test_0017,140.97583
Test_0018,415.17645
Test_0019,300.57953
Test_0020,201.13708
Test_0021,149.22253
Test_0022,200.41118
Test_0023,336.6817
Test_0024,180.65317
Test_0025,709.6568
Test_0026,185.73383
Test_0027,256.24686
Test_0028,146.4568
Test_0029,414.5153
Test_0030,234.1938
Test_0031,400.41446
Test_0032,323.35944
Test_0033,356.6919
Test_0034,236.96631
Test_0035,418.31805
Test_0036,327.04367
Test_0037,164.82898
Test_0038,217.4179
Test_0039,775.3919
Test_0040,362.0563
Test_0041,122.37284
Test_0042,189.38847
Test_0043,462.80963
Test_0044,270.27402
Test_0045,509.47238
Test_0046,294.23953
Test_0047,162.4883
Test_0048,170.50137
Test_0049,1030.119
Test_0050,645.24854
Test_0051,310.61023
Test_0052,161.71669
Test_0053,370.46152
Test_0054,429.91946
Test_0055,206.72238
Test_0056,383.52872
Test_0057,421.18503
Test_0058,154.8781
Test_0059,547.6651
Test_0060,353.2761
Test_0061,260.79996
Test_0062,191.0646
Test_0063,164.83061
Test_0064,944.72424
Test_0065,214.02155
Test_0066,276.1198
Test_0067,560.1373
Test_0068,629.79
Test_0069,203.74294
Test_0070,881.41455
Test_0071,251.85493
Test_0072,102.81052
Test_0073,443.9169
Test_0074,79.59808
Test_0075,133.88197
Test_0076,167.63387
Test_0077,273.28525
Test_0078,508.2045
Test_0079,453.66263
Test_0080,428.92093
Test_0081,464.67868
Test_0082,390.76703
Test_0083,224.34512
Test_0084,474.85855
Test_0085,113.31319
Test_0086,246.91019
Test_0087,373.28232
Test_0088,390.0273
Test_0089,181.61809
Test_0090,239.36209
Test_0091,621.7905
Test_0092,347.06915
Test_0093,270.05893
Test_0094,189.21469
Test_0095,79.62855
Test_0096,182.9615
Test_0097,294.27798
Test_0098,489.50397
Test_0099,905.9963
Test_0100,124.3146
Test_0101,370.16885
Test_0102,143.23155
Test_0103,235.96852
Test_0104,277.4939
Test_0105,101.94781
Test_0106,355.04883
Test_0107,160.21184
Test_0108,280.3533
Test_0109,169.67572
Test_0110,681.93976
Test_0111,120.47716
Test_0112,185.73383
Test_0113,233.27945
Test_0114,268.73236
Test_0115,442.50632
Test_0116,397.55505
Test_0117,292.17294
Test_0118,185.09482
Test_0119,389.90277
Test_0120,371.62027
Test_0121,222.35652
Test_0122,360.3222
Test_0123,108.09103
Test_0124,279.81943
Test_0125,257.943
Test_0126,388.81342
Test_0127,227.22202
Test_0128,878.10175
Test_0129,177.96315
Test_0130,253.03331
Test_0131,444.9658
Test_0132,917.1706
Test_0133,343.31287
Test_0134,216.69693
Test_0135,363.53564
Test_0136,282.21817
Test_0137,164.52664
Test_0138,749.0889
Test_0139,90.7712
Test_0140,292.79956
Test_0141,490.88745
Test_0142,237.123
Test_0143,213.9953
Test_0144,135.8503
Test_0145,410.96146
Test_0146,158.45659
Test_0147,256.4029
Test_0148,457.60217
Test_0149,371.15775
Test_0150,767.06415
Test_0151,167.21346
Test_0152,167.55629
Test_0153,173.451
Test_0154,108.010376
Test_0155,187.37003
Test_0156,399.5871
Test_0157,196.20383
Test_0158,303.64893
Test_0159,149.20157
Test_0160,675.5901
Test_0161,187.83723
Test_0162,251.98209
Test_0163,419.76483
Test_0164,164.35281
Test_0165,257.64627
Test_0166,417.63782
Test_0167,386.8209
Test_0168,133.4968
Test_0169,397.70453
Test_0170,215.40332
Test_0171,139.03473
Test_0172,210.42598
Test_0173,487.27356
Test_0174,113.66964
Test_0175,359.94632
Test_0176,183.0656
Test_0177,917.1706
Test_0178,254.47804
Test_0179,157.26285
Test_0180,995.6489
Test_0181,430.7422
Test_0182,659.68195
Test_0183,182.29749
Test_0184,378.1965
Test_0185,255.40872
Test_0186,755.8036
Test_0187,173.0093
Test_0188,128.56927
Test_0189,216.37077
Test_0190,393.92218
Test_0191,143.86923
Test_0192,287.64383
Test_0193,225.00092
Test_0194,471.4287
Test_0195,408.5682
Test_0196,527.7533
Test_0197,247.57867
Test_0198,380.8769
Test_0199,156.37436
Test_0200,417.95126
Test_0201,201.54797
Test_0202,180.7134
Test_0203,270.6676
Test_0204,196.60823
Test_0205,73.4411
Test_0206,256.40356
Test_0207,161.52686
Test_0208,246.9266
Test_0209,199.38177
Test_0210,326.57132
Test_0211,556.92633
Test_0212,332.82416
Test_0213,315.43903
Test_0214,465.4705
Test_0215,271.51935
Test_0216,518.192
Test_0217,185.85716
